bike_name,price,city,kms_driven,owner,age,power,brand
Yamaha FZ25 250cc,105000.0,Jaipur,10468.0,First Owner,2.0,250.0,Yamaha
Yamaha FZs 150cc,40000.0,Jaipur,34000.0,First Owner,11.0,150.0,Yamaha
Yamaha FZs 150cc,47000.0,Jaipur,18227.0,First Owner,6.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,82800.0,Jaipur,6500.0,First Owner,3.0,150.0,Yamaha
Yamaha Fazer 150cc,34000.0,Jaipur,39000.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ16 150cc,47000.0,Jaipur,18415.0,First Owner,8.0,150.0,Yamaha
Yamaha SZR 150cc,28000.0,Jaipur,20555.0,First Owner,10.0,150.0,Yamaha
Yamaha FZs 150cc,83000.0,Jaipur,14000.0,First Owner,3.0,150.0,Yamaha
Yamaha FZ25 250cc,90000.0,Jaipur,18100.0,First Owner,4.0,250.0,Yamaha
Yamaha SZX 150cc,22500.0,Jaipur,20632.0,First Owner,11.0,150.0,Yamaha
Yamaha FZs 150cc,35000.0,Jaipur,18227.0,First Owner,9.0,150.0,Yamaha
Yamaha SZR 150cc,30000.0,Jaipur,35600.0,First Owner,9.0,150.0,Yamaha
Yamaha SS 125 125cc,22000.0,Jaipur,65798.0,First Owner,10.0,125.0,Yamaha
Yamaha FZs 150cc,45000.0,Jaipur,18237.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,44000.0,Jaipur,32000.0,First Owner,7.0,150.0,Yamaha
Yamaha FZ16 150cc,44000.0,Jaipur,18250.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,44000.0,Jaipur,27000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ16 150cc,42000.0,Jaipur,25000.0,First Owner,6.0,150.0,Yamaha
Yamaha FZs 150cc,80000.0,Jaipur,12000.0,First Owner,3.0,150.0,Yamaha
Yamaha SZR 150cc,20000.0,Jaipur,25081.0,First Owner,10.0,150.0,Yamaha
Yamaha FZ 150cc,35000.0,Jaipur,25108.0,First Owner,11.0,150.0,Yamaha
Yamaha YZF-R15 150cc,62000.0,Jaipur,21734.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,65000.0,Jaipur,14391.0,Second Owner,4.0,150.0,Yamaha
Yamaha Gladiator 125cc,21000.0,Jaipur,55000.0,First Owner,8.0,125.0,Yamaha
Yamaha SS 125 125cc,25000.0,Jaipur,10500.0,First Owner,9.0,125.0,Yamaha
Yamaha Fazer 150cc,33500.0,Jaipur,40000.0,First Owner,9.0,150.0,Yamaha
Yamaha Saluto RX 110cc,37000.0,Jaipur,8030.0,First Owner,4.0,110.0,Yamaha
